"id"	"stimmung"	"Uinter"	"Uspass"	"Rdeut"	"Rverst"	"Iverst"	"Ogut"	"Onicht"	"Owunsch"	"geschl"	"alter"
"ma08y"	3	3	3	2	3	3	"Das nach unserer Meinung gefragt wurde"	"Das es so schnell ging"	"verständlicher"	"w"	13
"be05a"	3	3	3	3	3	3	"viel Gruppenarbeit"	"nix"	"nix"	"w"	13
"ta12x"	"NA"	2	3	4	4	4	"das ich jetzt weiß, was man alles in Wikipedia machen kann"	"das viele laut waren"	"NA"	"w"	12
"ju07t"	4	4	4	4	4	4	"Wikipediaartikel ausdrucken"	"nix"	"nix"	"m"	13
"so07u"	2	2	3	3	3	2	"Artikelsuchen im Internet, das in der Klasse ein bisschen"	"Gegenseitiges Interview"	"nix"	"w"	12
"mi28r"	1	2	2	4	4	4	"nix"	"nix"	"nix"	"m"	12
"ol28r"	1	3	3	4	4	4	"NA"	"NA"	"Schule aus"	"m"	12
"ma01x"	"NA"	2	2	3	3	3	"Das wir am PC waren"	"Das mit Schnecke"	"nix"	"m"	12
"ch05o"	"NA"	2	2	4	3	2	"Das wir am PC waren"	"Das mit der Schnecke"	"NA"	"m"	13
"be05r"	3	3	3	3	3	3	"Das wir im Computerraum die Artikel ausdrucken konnten"	"Das die Bildschirme gesperrt wurden"	"nichts"	"m"	14
"ge12s"	4	3	3	4	4	3	"das wir was über Wikipedia gelernt haben"	"NA"	"NA"	"m"	14
"ni06s"	"NA"	4	3	3	4	3	"alles"	"nichts"	"mehr informationen"	"m"	13
"si03t"	"NA"	2	3	3	2	4	"mir hat eigentlich nichts Spaß gemacht, weil ich das Thema langweilig fand"	"NA"	"das es ein bisschen interessanter wird"	"w"	12
"ro07a"	"NA"	4	3	4	3	3	"mir hat es gefallen, weil ich jetzt weiß, was ich wissen muss"	"die Zebraschneckengeschichte"	"mehr erfahren"	"w"	13
"br11r"	4	2	2	3	3	4	"NA"	"NA"	"NA"	"m"	13
"fa03a"	"NA"	1	1	4	3	3	"garnichts"	"es war nicht interessant und hat keinen Spaß gemacht"	"NA"	"m"	12
"mi12u"	4	2	2	2	2	3	"das Sie uns einen lustigen Artikel gezeigt haben"	"NA"	"NA"	"w"	13
"ur03n"	4	3	3	4	3	3	"fast alles"	"eigentlich nichts"	"nichts, es war ok"	"w"	13
"ma08s"	"NA"	3	3	3	4	3	"alles"	"nix"	"lustiger Affe"	"NA"	13
"ma09s"	3	4	4	4	4	4	"NA"	"Schnecke"	"NA"	"m"	13
